band_banding,original_band,other_bands_banding,event_type_banding,event_date_banding,event_day_banding,event_month_banding,event_year_banding,iso_country_banding,iso_subdivision_banding,lat_dd_banding,lon_dd_banding,coordinates_precision_code_banding,band_type_code_banding,species_name_banding,species_id_banding,bird_status_banding,extra_info_code_banding,age_code_banding,sex_code_banding,permit_banding,band_status_code_banding,how_obtained_code_banding,who_obtained_code_banding,reporting_method_banding,present_condition_banding,min_age_at_enc_banding,record_source_banding,record_id_banding,species_scientific_name_banding,band_recap_enc,other_bands_recap_enc,event_type_recap_enc,event_date_recap_enc,event_day_recap_enc,event_month_recap_enc,event_year_recap_enc,iso_country_recap_enc,iso_subdivision_recap_enc,lat_dd_recap_enc,lon_dd_recap_enc,coordinates_precision_code_recap_enc,band_type_code_recap_enc,species_name_recap_enc,species_id_recap_enc,bird_status_recap_enc,extra_info_code_recap_enc,age_code_recap_enc,sex_code_recap_enc,permit_recap_enc,band_status_code_recap_enc,how_obtained_code_recap_enc,who_obtained_code_recap_enc,reporting_method_recap_enc,present_condition_recap_enc,min_age_at_enc_recap_enc,record_source_recap_enc,record_id_recap_enc,species_scientific_name_recap_enc,distance_km
B11933285761,B11933285761,,B,07/10/1994,10,7,1994,US,US-MT,48.75,-115.91667,10,11,Rufous Hummingbird,4330,3,00,1.0,5.0,P6969349,0,,,,,,B,-75723609,Selasphorus rufus,B11933285761,,E,07/99/1995,99,7,1995,CA,CA-BC,55.25,-127.58333,10,11,,4330,,,,,,,13.0,23.0,6.0,4.0,2.08,E,-12871082,Selasphorus rufus,1076.8488265238025
B11933595289,B11933595289,,B,05/30/1994,30,5,1994,CA,CA-BC,49.41667,-124.75,10,11,Rufous Hummingbird,4330,3,00,1.0,5.0,P3838368,0,,,,,,B,-75716400,Selasphorus rufus,B11933595289,,E,07/11/1994,11,7,1994,US,US-NM,34.91667,-106.41667,10,11,,4330,,,,,,,66.0,23.0,1.0,7.0,1.08,E,-13010271,Selasphorus rufus,2199.481333023342
B11933595289,B11933595289,,B,05/30/1994,30,5,1994,CA,CA-BC,49.41667,-124.75,10,11,Rufous Hummingbird,4330,3,00,1.0,5.0,P3838368,0,,,,,,B,-75716400,Selasphorus rufus,B11933595289,,E,07/13/1994,13,7,1994,US,US-NM,34.91667,-106.41667,10,11,,4330,,,,,,,66.0,23.0,1.0,7.0,1.08,E,-12584409,Selasphorus rufus,2199.481333023342
B11933913521,B11933913521,,B,09/16/1995,16,9,1995,US,US-AL,33.75,-86.58333,10,11,Ruby-throated Hummingbird,4280,3,08,2.0,4.0,P1711251,0,,,,,,B,-75784327,Archilochus colubris,B11933913521,,E,04/16/1998,16,4,1998,US,US-NH,42.91667,-71.75,10,11,,4280,,,,,,,0.0,21.0,6.0,5.0,2.83,E,-12812694,Archilochus colubris,1644.2075196345686
B12833261342,B12833261342,,B,01/12/2021,12,1,2021,US,US-FL,30.39806,-87.04333,0,11,Rufous Hummingbird,4330,3,00,1.0,5.0,P2723703,0,,,,,,B,14082684,Selasphorus rufus,B12833261342,,E,10/16/2021,16,10,2021,US,US-IN,41.75733,-84.93979,0,11,RUFOUS HUMMINGBIRD,4330,,,,,P7724087,,66.0,23.0,7.0,7.0,1.33,E,726819,Selasphorus rufus,1274.4841281307602
B12833666152,B12833666152,,B,09/02/2018,2,9,2018,US,US-TN,36.59222,-87.23361,0,11,Ruby-throated Hummingbird,4280,3,00,2.0,4.0,P6726232,0,,,,,,B,-14792658,Archilochus colubris,B12833666152,,E,07/11/2020,11,7,2020,US,US-VA,38.47318,-77.99666,11,11,RUBY-THROATED HUMMINGBIRD,4280,,,,,P7747094,,13.0,23.0,7.0,5.0,2.08,E,567462,Archilochus colubris,842.2763708245136
B12833679118,B12833679118,,B,09/19/2018,19,9,2018,US,US-TX,30.675,-95.54167,1,11,Ruby-throated Hummingbird,4280,3,00,1.0,5.0,P5725932,0,,,,,,B,-15021980,Archilochus colubris,B12833679118,,E,09/11/2020,11,9,2020,US,US-GA,34.84556,-84.94556,0,11,hummingbird,4280,,,,,,,0.0,21.0,12.0,4.0,3.25,E,12663832,Archilochus colubris,1094.5271852965686
B13833765113,B13833765113,,B,05/17/2017,17,5,2017,US,US-OH,41.60833,-82.675,1,11,Ruby-throated Hummingbird,4280,3,00,1.0,4.0,P4748334,0,,,,,,B,-16412651,Archilochus colubris,B13833765113,,E,06/28/2017,28,6,2017,US,US-MI,42.2815,-85.28141,0,11,Ruby-throated Hummingbird,4280,,,,,P7724087,,66.0,23.0,7.0,7.0,1.0,E,-8544302,Archilochus colubris,228.6854000417884
B13933110123,B13933110123,,B,08/31/2008,31,8,2008,US,US-PA,40.84667,-77.45833,0,11,Ruby-throated Hummingbird,4280,3,00,1.0,5.0,P2712102,0,,,,,,B,-62109586,Archilochus colubris,B13933110123,,E,10/06/2009,6,10,2009,US,US-TX,28.75,-97.08333,10,11,RUBY-THRT HUMMER,4280,,,,,,,66.0,23.0,7.0,7.0,2.33,E,-8882659,Archilochus colubris,2233.029339146366
B13933410294,B13933410294,,B,07/28/2005,28,7,2005,US,US-CO,40.43139,-105.5025,0,11,Rufous Hummingbird,4330,3,00,1.0,4.0,P2722447,0,,,,,,B,-60543320,Selasphorus rufus,B13933410294,,E,06/23/2007,23,6,2007,CA,CA-AB,51.08333,-114.08333,10,11,RUFOUS HUMMINGBIRD,4330,,,,,,,66.0,23.0,1.0,7.0,3.0,E,-12475951,Selasphorus rufus,1357.047264970767
B14833198289,B14833198289,,B,12/10/2013,10,12,2013,US,US-FL,30.675,-86.15833,1,11,Rufous Hummingbird,4330,3,08,1.0,4.0,P2723703,0,,,,,,B,-53856696,Selasphorus rufus,B14833198289,,E,12/29/2015,29,12,2015,US,US-AL,31.23528,-85.41222,0,11,Rufous Hummingbird,4330,3,00,1.0,4.0,P2723703,,66.0,23.0,14.0,7.0,3.5,R,-31803814,Selasphorus rufus,94.55553588509726
B14833362156,B14833362156,,B,01/15/2015,15,1,2015,US,US-FL,30.435,-87.18861,0,11,Rufous Hummingbird,4330,3,08,1.0,5.0,P2723703,0,,,,,,B,-36879381,Selasphorus rufus,B14833362156,,E,02/23/2017,23,2,2017,US,US-AL,30.37722,-87.46722,0,11,Rufous Hummingbird,4330,3,00,1.0,5.0,P2723703,,66.0,23.0,14.0,7.0,2.67,R,-31804588,Selasphorus rufus,27.527526040362012
B14933259193,B14933259193,,B,01/09/2005,9,1,2005,US,US-LA,30.41667,-90.08333,10,11,Rufous Hummingbird,4330,3,08,5.0,4.0,P4744824,0,,,,,,B,-63809896,Selasphorus rufus,B14933259193,,E,01/12/2006,12,1,2006,US,US-AL,30.58333,-87.75,10,11,Rufous,4330,,,,,,,66.0,23.0,7.0,7.0,1.58,E,-12474922,Selasphorus rufus,224.7537367075633
B14933871184,B14933871184,,B,09/03/2004,3,9,2004,US,US-IN,40.08333,-86.41667,10,11,Rufous Hummingbird,4330,3,00,1.0,5.0,P7724087,0,,,,,,B,-56874985,Selasphorus rufus,B14933871184,,E,01/20/2005,20,1,2005,US,US-LA,30.41667,-91.25,10,11,,4330,,,,,,,66.0,23.0,7.0,7.0,1.58,E,-9145317,Selasphorus rufus,1158.6694936569004
B15933410159,B15933410159,,B,08/23/2002,23,8,2002,US,US-TX,28.75,-97.08333,10,11,Ruby-throated Hummingbird,4280,3,00,2.0,4.0,P1711771,0,,,,,,B,-37243242,Archilochus colubris,B15933410159,,E,06/04/2004,4,6,2004,US,US-IL,37.75,-89.25,10,11,Ruby-thrt Hummer,4280,,,,,,,66.0,23.0,7.0,7.0,2.0,E,-12537598,Archilochus colubris,1235.510055811208
B16733716617,B16733716617,,B,07/27/2023,27,7,2023,US,US-IL,37.71417,-89.205,0,11,Ruby-throated Hummingbird,4280,3,00,1.0,4.0,P7721981,0,,,,,,B,20696906,Archilochus colubris,B16733716617,,E,04/17/2024,17,4,2024,US,US-TX,30.15443,-95.67016,0,11,RUBY-THROATED HUMMINGBIRD,4280,,,,,,,13.0,21.0,7.0,4.0,1.83,E,1254629,Archilochus colubris,1029.126883118395
B20833327177,B20833327177,,B,09/09/2013,9,9,2013,US,US-TN,36.08333,-87.08333,10,11,Ruby-throated Hummingbird,4280,3,00,2.0,4.0,P6746186,0,,,,,,B,-37061380,Archilochus colubris,B20833327177,,E,07/14/2014,14,7,2014,US,US-MD,39.49562,-79.03152,11,11,RUBY-THROATED HUMMINGBIRD,4280,,,,,,,0.0,21.0,61.0,4.0,1.08,E,-12248456,Archilochus colubris,803.5656866345868
B20833404230,B20833404230,,B,10/06/2013,6,10,2013,US,US-LA,30.42917,-90.12833,0,11,Ruby-throated Hummingbird,4280,3,08,2.0,5.0,P4744824,0,,,,,,B,-37111723,Archilochus colubris,B20833404230,,E,09/07/2017,7,9,2017,US,US-TN,36.09714,-87.02771,0,11,Ruby-throated Hummingbird,4280,,,,,P6746186,,66.0,23.0,7.0,7.0,4.25,E,-9865505,Archilochus colubris,691.721578879984
B20933190230,B20933190230,,B,11/24/2006,24,11,2006,US,US-NC,36.49167,-77.94167,1,11,Rufous Hummingbird,4330,3,08,2.0,5.0,P7723572,0,,,,,,B,-61645024,Selasphorus rufus,B20933190230,,E,11/18/2007,18,11,2007,US,US-VA,37.25,-77.41667,10,11,Hummingbird,4330,,,,,,,52.0,21.0,7.0,7.0,1.42,E,-8885569,Selasphorus rufus,96.29795315383056
B22833231282,B22833231282,,B,11/25/2022,25,11,2022,US,US-NJ,39.71569,-74.98118,0,11,Rufous Hummingbird,4330,3,00,2.0,5.0,P1701007,0,,,,,,B,19892090,Selasphorus rufus,B22833231282,,E,10/06/2023,6,10,2023,US,US-PA,40.81866,-77.61618,0,11,Rufous Hummingbird,4330,,,,,P2726012,,66.0,23.0,7.0,7.0,1.33,E,1115513,Selasphorus rufus,255.39567763854745
B22833261121,B22833261121,,B,01/23/2021,23,1,2021,US,US-AL,30.37722,-87.46722,0,11,Rufous Hummingbird,4330,3,00,1.0,5.0,P2723703,0,,,,,,B,14082728,Selasphorus rufus,B22833261121,,E,02/11/2023,11,2,2023,US,US-TX,29.89245,-95.64738,0,11,RUFOUS HUMMINGBIRD,4330,,,,,P7725407,,66.0,23.0,7.0,7.0,2.67,E,1031577,Selasphorus rufus,789.8605598087303
B22833706240,B22833706240,,B,09/08/2017,8,9,2017,US,US-IL,37.60944,-89.24611,0,11,Ruby-throated Hummingbird,4280,3,00,1.0,5.0,P7721981,0,,,,,,B,-15987201,Archilochus colubris,B22833706240,,E,07/19/2021,19,7,2021,US,US-NY,42.65216,-78.27718,0,11,RUBY-THROATED HUMMINGBIRD,4280,,,,,P1991701,,66.0,23.0,7.0,7.0,5.08,E,673319,Archilochus colubris,1088.420325035128
B22933020772,B22933020772,,B,07/08/1983,8,7,1983,US,US-OK,36.41667,-94.75,10,11,Ruby-throated Hummingbird,4280,3,00,1.0,5.0,P7974624,0,,,,,,B,-75828364,Archilochus colubris,B22933020772,,E,09/16/1985,16,9,1985,US,US-TX,30.08333,-99.08333,10,11,,4280,,,,,,,0.0,22.0,1.0,3.0,3.25,E,-11894921,Archilochus colubris,809.9802916671663
B23933227973,B23933227973,B30833765147; ,B,07/02/2008,2,7,2008,CA,CA-BC,50.23917,-119.41056,0,11,Rufous Hummingbird,4330,3,00,2.0,4.0,P8833768,0,,,,,,B,-36890967,Selasphorus rufus,B23933227973,B30833765147; ,E,07/27/2011,27,7,2011,US,US-TX,30.70083,-104.115,0,11,RUFOUS HUMMINGBIRD,4330,,,,,,,66.0,23.0,7.0,8.0,3.08,E,-8733030,Selasphorus rufus,2516.616632451514
B24833020610,B24833020610,,B,08/28/2014,28,8,2014,US,US-IL,39.925,-89.79167,1,11,Ruby-throated Hummingbird,4280,3,00,2.0,5.0,P9992049,0,,,,,,B,-52560374,Archilochus colubris,B24833020610,,E,05/25/2015,25,5,2015,US,US-IA,41.90721,-94.57109,11,11,HUMMING BIRD,4280,,,,,,,3.0,21.0,12.0,3.0,0.92,E,-9970713,Archilochus colubris,458.7723972243414
B24833211273,B24833211273,,B,09/14/2014,14,9,2014,US,US-LA,30.42917,-90.12833,0,11,Ruby-throated Hummingbird,4280,3,08,1.0,4.0,P4744824,0,,,,,,B,-37214892,Archilochus colubris,B24833211273,,E,06/03/2015,3,6,2015,US,US-NC,35.98798,-78.96426,0,11,Ruby-throated Hummingbird,4280,,,,,,,0.0,21.0,62.0,4.0,2.0,E,-8924262,Archilochus colubris,1208.5125874193423
B24833732867,B24833732867,,B,10/25/2012,25,10,2012,US,US-TX,29.04972,-95.45333,0,11,Rufous Hummingbird,4330,3,00,2.0,4.0,P7725407,0,,,,,,B,-36977534,Selasphorus rufus,B24833732867,,E,01/06/2013,6,1,2013,US,US-FL,30.68203,-86.15262,0,11,Rufous Hummingbird,4330,,,,,,,66.0,23.0,7.0,7.0,0.58,E,-8660689,Selasphorus rufus,916.3319098722666
